priority,score,blog,slug,title,issues,frozen
22,20,travel4-hugo,대구-서부시장-역사와-물놀이-한눈에-보기,대구 서부시장 역사와 물놀이 한눈에 보기,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
23,20,travel4-hugo,광주-예술가거리와-518-기념관-여행코스-정리,광주 예술가거리와 5.18 기념관 여행코스 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
24,20,travel4-hugo,광주-근대와-현대-여행코스-5곳-정리,광주 근대와 현대 여행코스 5곳 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
25,20,travel4-hugo,경기에서-아이와-함께하는-타조와-자연-속-여행코스-정리,경기에서 아이와 함께하는 타조와 자연 속 여행코스 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
26,20,travel4-hugo,경기-파주에서-고구려-역사-탐방-추천,경기 파주에서 고구려 역사 탐방 추천,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
27,20,travel4-hugo,경기-태양의-후예-촬영지와-겨울방학-썰매장-코스-추천,경기 '태양의 후예' 촬영지와 겨울방학 썰매장 코스 추천,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
28,20,travel4-hugo,경기-광주에서-자연과-책으로-떠나는-여행코스-정리,경기 광주에서 자연과 책으로 떠나는 여행코스 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
29,20,travel4-hugo,강원에서-임꺽정-유적지와-함께하는-여행-추천,강원에서 임꺽정 유적지와 함께하는 여행 추천,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
30,20,travel4-hugo,강원-짜릿한-모험레포츠와-묵호항-이야기-방문-전-필독,강원 짜릿한 모험레포츠와 묵호항 이야기 방문 전 필독,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
31,20,travel4-hugo,강원-묵호항과-가을바다-여행코스-정리,강원 묵호항과 가을바다 여행코스 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
32,20,travel3-hugo,현지인만-아는-서울-해물-맛집-5곳-총정리,현지인만 아는 서울 해물 맛집 5곳 총정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
33,20,travel3-hugo,포항에서-맛보는-한정식-5곳-추천-리스트,포항에서 맛보는 한정식 5곳 추천 리스트,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
34,20,travel3-hugo,태안-해물-맛집-5곳과-호호아줌마-코스-추천,태안 해물 맛집 5곳과 호호아줌마 코스 추천,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
35,20,travel3-hugo,충남에서-맛보는-고기-맛집-5곳-총정리,충남에서 맛보는 고기 맛집 5곳 총정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
36,20,travel3-hugo,청주에서-한정식-맛집-5곳-추천-리스트,청주에서 한정식 맛집 5곳 추천 리스트,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
37,20,travel3-hugo,청주에서-맛보는-칼국수-명소-5곳-정리,청주에서 맛보는 칼국수 명소 5곳 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
38,20,travel3-hugo,청주-해물-맛집-5곳-총정리,청주 해물 맛집 5곳 총정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
39,20,travel3-hugo,중에서-맛보는-냉면-맛집-5곳-정리,중에서 맛보는 냉면 맛집 5곳 정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
40,20,travel3-hugo,중-카페-잠진도길28와-서울횟집-맛집-총정리,중 카페 잠진도길28와 서울횟집 맛집 총정리,TEMPLATE_LEAK|TOO_SHORT|NO_INTERNAL_LINK,
